/home/claude/prophezy/lib/ai/config/client.ts: line 131, col 33, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/ai/config/client.ts: line 133, col 24, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/ai/engine.ts: line 100, col 38, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/ai/engine.ts: line 161, col 18, Error - An interface declaring no members is equivalent to its supertype. (@typescript-eslint/no-empty-object-type)
/home/claude/prophezy/lib/ai/middleware/safety.ts: line 86, col 50, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/ai/services/interview.service.ts: line 25, col 3, Warning - 'config' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/ai/services/interview.service.ts: line 44, col 9, Warning - 'session' is assigned a value but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/ai/utils/validator.ts: line 20, col 79, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/assignment/utils/keyword-extractor.ts: line 45, col 15, Warning - 'term' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/career/services/career.service.ts: line 76, col 49, Warning - 'notes' is assigned a value but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/career/services/search.service.ts: line 14, col 10, Warning - 'AiCoreClient' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/career/services/skills.service.ts: line 8, col 74, Warning - 'failure' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/chat/providers/supabase-chat.provider.ts: line 157, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/chat/providers/supabase-chat.provider.ts: line 170, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/chat/providers/supabase-chat.provider.ts: line 182, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/chat/providers/supabase-chat.provider.ts: line 192, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/chat/router/module-registry.ts: line 35, col 39, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/chat/router/module-registry.ts: line 77, col 37, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/document/cache/cache.service.ts: line 22, col 18, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/document/cache/cache.service.ts: line 25, col 42, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/document/models/document.model.ts: line 8, col 15, Warning - 'DocumentTypeLabel' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/document/parser/parser.service.ts: line 55, col 13, Error - 'pages' is never reassigned. Use 'const' instead. (prefer-const)
/home/claude/prophezy/lib/document/providers/markdown.provider.ts: line 11, col 55, Warning - 'SectionBlock' is defined but never used. Allowed unused vars must match /^_/u. (@typescript-eslint/no-unused-vars)
/home/claude/prophezy/lib/document/providers/ppt.provider.ts: line 36, col 16, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/document/providers/zip.provider.ts: line 22, col 15, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/home/claude/prophezy/lib/document/providers/zip.provider.ts: line 33, col 12, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
